,korean,english
1,가족이랑 다같이 저녁 먹으며 축하해줬어.,I celebrated with my family while eating dinner.
2,나도 다시 이집트에서 너와 너희 가족 들을 만나고 싶어.,I'd love to meet your family and you again In Egypt.
3,내가 먹은 음식은 목살 스테이크와 까르보나라이에요.,The food I ate was pork chop steak and carbonara.
4,모래내 시장에서는 어떤 장면이 촬영 되었나요?,What kind of scenes were taken in Moranae market?
5,이제 나는 원어민 수업을 받지 않아.,I don't take native english class any more.
6,지금 남아있는 종이컵이 없는데 혹시 입구 쪽에 있는 정수기를 이용해 주시겠어요? ,"There is none left at the moment. Could you use the machine by the entrance, instead?"
7,그는 이번 학기 까지만 공부하고 한국으로 돌아 갈 것이에요.,He will study until this semester and go back to Korea.
8,그만큼 2학기 개강도 빠르게 다가오겠지?,"The second semester will come just as quickly, you know?"
9,일러스트레이션 작업은 주특기가 아니기때문이예요.,It is because illustration work is not my specialty.
10,특수한 상황을 제외하고 출장 하루에 최대 50만 원까지 청구 가능합니다.,"Aside from exceptional cases, you may use up to 500,000 won per day for business trip."
11,하지만 당신에게 말 할 수 없는 이야기도 있어요.,But there are some stories I can never tell you.
12,나는 같은 일을 하는 동료에게 추천하고 싶어요.,I want to recommend this to my colleauge who works with me.
13,그리고 저녁에 또 다른 시험 공부를 했었어요.,And I studied for another exam in the evening.
14,오토바이로 한국 일주를 하고 싶어.,I want to travel around Korea by motorcycle.
15,죄송합니다. 메일이 스팸함 폴더에 들어가 있었네요.,I'm sorry. The mail was in the spam mail box.
16,이번에 발표할 주제는 발효에 대해서 이에요.,The topic that will be presented this time is fermentation.
17,우리는 비밀이어야 되 그냥 즐기고 있어.,We must be secret and just enjoy yourself.
18,그녀가 수영장에 가자고 제안했어요.,She suggested to go to swimming pool.
19,그래서 라일리는 매우 긍정적인 아이예요.,So Riley is a very positive person.
20,맞아요. 유명한 드라마에 엄청 많이 출연했었죠.,He is. He starred in many famous TV dramas.
21,우리는 예배에 집중하기 원해요.,We want to concentrate in the service.
22,사람 들이 캠핑을 가서 하는 것을 알려주기 때문이에요.,Because people instruct you what to do at the camp site.
23,"잠깐만요 엄마, 10분이면 끝나니까 잠시만 기다려주세요. ","Wait a minute mom, it ends in 10 minutes so please wait."
24,어떤 것이 한국인 스타일인지 이해하지 못 했어요?,Didn't you understand what Korean Style is?
25,네 이름 약자는 어떻게 쓰는 거야?,How do you write your name by abbreviating?
26,내가 거의 다했지. 우리 누나가 좀 도와주었지만.,"I did most of it, although my sister helped me a little."
27,항공발송 운송장이 확인되면 다시 메일드리겠어요.,We will mail you again when the air way bill is confirmed.
28,학교 건의 게시판에 올려보자. ,Let's try posting something on the school suggestion board.
29,당신을 선택하는 손님이 많은가 보군요.,There must be a lot customers choosing you.
30,그는 중국과 한국에서 유명한 가수이에요.,He is a famous singer in China and South Korea.
31,수업이 끝난 뒤 타임 스퀘어에 갔어.,We went to Time square after the class.
32,내일 집에 와서 놀아야 할 것 같아.,I think we should hang out at home tomorrow.
33,아마도 3시에 있을 무역 관련 회의 때문일 거야.,It's probably because of the trading-related meeting at 3 o'clock.
34,#고든#이라는 역에서 내렸고 세번째 칸이었던 것 같습니다.,I'll let the cleaners and staff know and find out.
35,나는 유기견에 대하여 발표하고자 해요.,I want to make a presentation about stray dogs.
36,청년 취업이 요새 너무 힘들어서 전국적으로 취업 박람회를 열 거래.,"Apparently, they're hosting a nationwide recruitment expo because young people are finding it really difficult to find jobs."
37,"주문 도와드릴게요, 무엇을 마시겠어요?","I'll help you with your order, what would you like to drink?"
38,제가 맡은 파트는 음 치킨의 전망이예요.,I played the part well chicken views.
39,그들이 출근하기 전에 수정되어야 해요.,This has to be corrected before they get to work.
40,"그래요, 내일 당신에게 기쁜 소식을 위해 기도하겠어요.","Sure, I will pray for the good news for you tomorrow."
41,아마 출국장 안 제과점 옆에 있을 거예요. 자세한 정보는 아니니까 확인해 보세요.,There may be next to the bakery inside the departure hall. Please double check because I am not sure.
42,한국은 핸드폰을 되찾게 되는 비율이 높은 나라에요.,Korea has a high rate of finding lost cellphones.
43,자체적으로 무료 클레스를 준비중이예요.,We are preparing for free class by ourselves.
44,오디오 코덱은 끝 포인트에 배치해 주세요.,Place the audio codec at the end of the point.
45,맞습니다. 발 마사지까지 포함해서 3만원입니다.,You're on the right place. It costs 30 thousand won including foot massage.
46,그게 꼭 우리 집에서 사신 생선 때문이라고 어떻게 장담하죠?,How do I know it's because of the fish you bought from my shop?
47,왜 이렇게 살이 빠졌어? 얼굴이 갸름해졌네.,How much weight did you lose? Your face is much thinner.
48,요즘 이 선인장을 보는맛에 정문으로 등교를 해요.,I go to school these days to see the cactus at the main door.
49,오늘밤 출장가야해서 너무 피곤해.,I'm so tired because I have a business trip tonight.
50,아니면 현지에서 바꾸는 것은 어때요? 아마 수수료가 저렴한 환전소가 있을 거예요.,Or how about changing after landing? Maybe you can find some exchange shops with a lower commission. 
51,전화번호 도움센터의 번호가 어떻게 돼요?,What is the number for directory assistance?
52,이불 사이즈를 측정 안 하고 샀더니 실수를 했어요. 혹시 교환되나요?,I made a mistake when I bought this without measuring my blanket size. Can it be exchanged?
53,사비로 지출한 후 경비 처리를 하였는데 언제쯤 지급이 되나요?,"I used my own money and charged the expense afterwards, and when can I receive the payment?"
54,고객이 도착하면 상점에 있는 재고를 확인해요.,"When the client arrives, I check the inventory of storage."
55,"사시는 대부분 당일 수술을 한 후, 이상이 없으면 다음 날 퇴원을 하게 되어있어요.","For cross-eyes, in most cases, the surgery occurs on the same day, and if there are no complications they are discharged the next day."
56,이 방에는 초대 할 수 없어요.,It is impossible to invite someone to this room.
57,저녁으로 김치 볶음 밥 만들어 주세요.,Please make kimchi fried rice in the evening.
58,그 컨셉을 좋아해 주는 사람이 있어.,There is a person who likes the concepts.
59,이번주 일요일에 논과 나는 부산을 방문할 예정이에요.,Me and non are planning to visit Busan this Sunday.
60,정식 릴리스하기전에 베타 버전을 보내드려요.,We will send you a beta version before the official release.
61,영어를 좋아하는 사람 들은 실력이 빨리 늘어.,English skills of those who like English improve fast.
